S.No,Module,Method,Endpoint (v1),Legacy Endpoint,Description,Required Headers,Path Parameters,Query Parameters,Request Body,Content-Type,Example Request,Access,Authentication,Status,Source File,Line
11,Auth,POST,/api/v1/auth/verify-phone-otp,/api/auth/verify-phone-otp,Verify signup mobile OTP (WhatsApp) and mark user verified,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"phone (string, required); otp (string, optional)",application/json,"POST /api/v1/auth/verify-phone-otp
{
  ""phone"": ""+971501234567"",
  ""otp"": ""123456""
}",Public,Public,Planned,server/routes/auth.js,587
12,Categories,GET,/api/v1/mobile/categories,/api/categories?parent_id=ID,Get children of a category by parent_id (for cascading dropdowns). Omit parent_id for roots.,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"parent_id (string, optional); parentId (string, optional)",—,—,GET /api/v1/mobile/categories?parent_id=64a1b2c3d4e5f6a7b8c9d0e1&parentId=64a1b2c3d4e5f6a7b8c9d0e1,Public,Public (Optional JWT for personalization),Planned,server/routes/categories.js,79
13,Categories,GET,/api/v1/mobile/categories/:id,/api/categories/:id,Get single category with subcategories and active product count,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/categories/:id,Public,Public (Optional JWT for personalization),Planned,server/routes/categories.js,124
14,Categories,GET,/api/v1/mobile/categories/:id/path,/api/categories/:id/path,Get full path (ancestors + self) for a category (for restoring cascading selection on edit),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/categories/:id/path,Public,Public (Optional JWT for personalization),Planned,server/routes/categories.js,110
15,Categories,GET,/api/v1/mobile/categories/level-labels,/api/categories/level-labels?root=Name,Get level labels for cascading dropdowns. Optional ?root=Name returns labels for that root only.,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"root (string, optional)",—,—,GET /api/v1/mobile/categories/level-labels?root=string,Public,Public (Optional JWT for personalization),Planned,server/routes/categories.js,62
16,Categories,GET,/api/v1/mobile/categories/roots,/api/categories/roots,Get only root categories (parentId null) for home page dropdown,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/categories/roots,Public,Public (Optional JWT for personalization),Planned,server/routes/categories.js,30
17,Category Filters,GET,/api/v1/mobile/category-filters,/api/category-filters?category_id=ID&subcategory_id=ID&child_category_id=ID,Get filters by selected category level (child > subcategory > category),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"category_id (string, optional); categoryId (string, optional); subcategory_id (string, optional); subcategoryId (string, optional); subCategoryId (string, optional); child_category_id (string, optional); childCategoryId (string, optional); childCategoryID (string, optional)",—,—,GET /api/v1/mobile/category-filters?category_id=64a1b2c3d4e5f6a7b8c9d0e1&categoryId=64a1b2c3d4e5f6a7b8c9d0e1&subcategory_id=64a1b2c3d4e5f6a7b8c9d0e1&subcategoryId=64a1b2c3d4e5f6a7b8c9d0e1&subCategoryId=64a1b2c3d4e5f6a7b8c9d0e1&child_category_id=64a1b2c3d4e5f6a7b8c9d0e1&childCategoryId=64a1b2c3d4e5f6a7b8c9d0e1&childCategoryID=string,Public,Public (Optional JWT for personalization),Planned,server/routes/categoryFilters.js,11
18,Chats,GET,/api/v1/mobile/chats,/api/chats,Get all chats for the current user (product + support),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/chats,Private,JWT Required (Bearer),Planned,server/routes/chats.js,31
19,Chats,POST,/api/v1/mobile/chats,/api/chats,Create or get existing chat (product or support),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"productId (string, optional); sellerId (string, optional); type (string, optional)",application/json,"POST /api/v1/mobile/chats
{
  ""productId"": ""64a1b2c3d4e5f6a7b8c9d0e1"",
  ""sellerId"": ""64a1b2c3d4e5f6a7b8c9d0e2"",
  ""type"": ""support""
}",Private,JWT Required (Bearer),Planned,server/routes/chats.js,126
20,Chats,DELETE,/api/v1/mobile/chats/:chatId/messages/:messageId,/api/chats/:chatId/messages/:messageId,Delete a single message (sender only),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"chatId (ObjectId|string, required); messageId (ObjectId|string, required)",—,—,—,DELETE /api/v1/mobile/chats/:chatId/messages/:messageId,Private,JWT Required (Bearer),Planned,server/routes/chats.js,462
21,Chats,DELETE,/api/v1/mobile/chats/:id,/api/chats/:id,Delete a chat and its messages for participants,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,DELETE /api/v1/mobile/chats/:id,Private,JWT Required (Bearer),Planned,server/routes/chats.js,611
22,Chats,GET,/api/v1/mobile/chats/:id,/api/chats/:id,Get a specific chat with messages,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/chats/:id,Private,JWT Required (Bearer),Planned,server/routes/chats.js,76
23,Chats,POST,/api/v1/mobile/chats/:id/call-event,/api/chats/:id/call-event,Save a call event (completed/missed/rejected/cancelled) as a chat message,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,"callType (string, optional); status (string, optional); duration (string, optional)",application/json,"POST /api/v1/mobile/chats/:id/call-event
{
  ""callType"": ""video"",
  ""status"": ""completed"",
  ""duration"": 120
}",Private,JWT Required (Bearer),Planned,server/routes/chats.js,399
24,Chats,POST,/api/v1/mobile/chats/:id/messages,/api/chats/:id/messages,Send a message in a chat (text and/or file attachment),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/chats/:id/messages (no body),Private,JWT Required (Bearer),Planned,server/routes/chats.js,249
25,Chats,PUT,/api/v1/mobile/chats/:id/read,/api/chats/:id/read,Mark messages as read in a chat,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,PUT /api/v1/mobile/chats/:id/read (no body),Private,JWT Required (Bearer),Planned,server/routes/chats.js,529
26,Chats,GET,/api/v1/mobile/chats/unread-count,/api/chats/unread-count,Total unread message count for current user (nav badge),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/chats/unread-count,Private,JWT Required (Bearer),Planned,server/routes/chats.js,63
27,Feed,GET,/api/v1/mobile/feed-data,/api/feed-data,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/feed-data,,See route handler,Planned,server/routes/feedData.js,872
28,Feed,GET,/api/v1/mobile/feed/following,/api/feed/following,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/feed/following,,See route handler,Planned,server/routes/feedData.js,859
29,Feed,GET,/api/v1/mobile/feed/trending,/api/feed/trending,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/feed/trending,,See route handler,Planned,server/routes/feedData.js,846
30,Filters,GET,/api/v1/mobile/filters,/api/filters?parent_id=ID,Get children of a filter by parent_id (for cascading dropdowns). Omit parent_id for roots.,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"parent_id (string, optional); parentId (string, optional)",—,—,GET /api/v1/mobile/filters?parent_id=64a1b2c3d4e5f6a7b8c9d0e1&parentId=64a1b2c3d4e5f6a7b8c9d0e1,Public,Public (Optional JWT for personalization),Planned,server/routes/filters.js,8
31,Interactions,DELETE,/api/v1/mobile/comments/:id,/api/comments/:id,Delete a comment,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,DELETE /api/v1/mobile/comments/:id,Private (only comment owner or admin),Admin JWT (Bearer),Planned,server/routes/interactions.js,579
32,Interactions,POST,/api/v1/mobile/comments/:id/like,/api/comments/:id/like,Like/Unlike a comment,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/comments/:id/like (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,610
33,Interactions,POST,/api/v1/mobile/comments/:id/report,/api/comments/:id/report,"Report a comment. Saves: commentId, reporterUserId, reason, timestamp.",Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,"reason (string, optional)",application/json,"POST /api/v1/mobile/comments/:id/report
{
  ""reason"": ""Spam""
}",Private,JWT Required (Bearer),Planned,server/routes/interactions.js,534
34,Interactions,GET,/api/v1/mobile/products/:id/comments,/api/products/:id/comments,Get all published comments for a product (persisted in DB). Returns array only.,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/products/:id/comments,Public,Public (Optional JWT for personalization),Planned,server/routes/interactions.js,467
35,Interactions,POST,/api/v1/mobile/products/:id/comments,/api/products/:id/comments,"Add a comment (saved to DB immediately, published, no approval)",Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,"text (string, optional)",application/json,"POST /api/v1/mobile/products/:id/comments
{
  ""text"": ""Hello, is this available?""
}",Private,JWT Required (Bearer),Planned,server/routes/interactions.js,497
36,Interactions,GET,/api/v1/mobile/products/:id/comments/count,/api/products/:id/comments/count,Get comment count for a product,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/products/:id/comments/count,Public,Public (Optional JWT for personalization),Planned,server/routes/interactions.js,652
37,Interactions,POST,/api/v1/mobile/products/:id/like,/api/products/:id/like,Like/Unlike a product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/products/:id/like (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,15
38,Interactions,GET,/api/v1/mobile/products/:id/liked,/api/products/:id/liked,Check if product is liked by current user,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/products/:id/liked,Private,JWT Required (Bearer),Planned,server/routes/interactions.js,384
39,Interactions,POST,/api/v1/mobile/products/:id/report,/api/products/:id/report,Report a product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,"reason (string, optional); description (string, optional)",application/json,"POST /api/v1/mobile/products/:id/report
{
  ""reason"": ""Spam"",
  ""description"": ""Excellent condition""
}",Private,JWT Required (Bearer),Planned,server/routes/interactions.js,435
40,Interactions,POST,/api/v1/mobile/products/:id/save,/api/products/:id/save,Save/Unsave a product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/products/:id/save (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,86
41,Interactions,GET,/api/v1/mobile/products/:id/saved,/api/products/:id/saved,Check if product is saved by current user,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/products/:id/saved,Private,JWT Required (Bearer),Planned,server/routes/interactions.js,409
42,Interactions,POST,/api/v1/mobile/products/:id/view,/api/products/:id/view,Increment product view count,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/products/:id/view (no body),Public,Public (Optional JWT for personalization),Planned,server/routes/interactions.js,58
43,Interactions,POST,/api/v1/mobile/user/:id/block,/api/user/:id/block,Block/Unblock a user — blocked user cannot follow you,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/user/:id/block (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,332
44,Interactions,POST,/api/v1/mobile/user/:id/follow,/api/user/:id/follow,Send a follow request (pending) or cancel/unfollow if already pending/active,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/user/:id/follow (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,175
45,Interactions,GET,/api/v1/mobile/user/:id/follow-status,/api/user/:id/follow-status,Get the follow relationship status between current user and target,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/user/:id/follow-status,Private,JWT Required (Bearer),Planned,server/routes/interactions.js,156
46,Interactions,POST,/api/v1/mobile/user/:id/follow/accept,/api/user/:id/follow/accept,Accept a follow request from user :id,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/user/:id/follow/accept (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,264
47,Interactions,POST,/api/v1/mobile/user/:id/follow/reject,/api/user/:id/follow/reject,Reject (delete) a follow request from user :id,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,POST /api/v1/mobile/user/:id/follow/reject (no body),Private,JWT Required (Bearer),Planned,server/routes/interactions.js,306
48,Interactions,GET,/api/v1/mobile/user/saved,/api/user/saved,Get user's saved products,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/user/saved,Private,JWT Required (Bearer),Planned,server/routes/interactions.js,133
49,OAuth,GET,/api/v1/auth/oauth/apple,/api/auth/oauth/apple,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,GET /api/v1/auth/oauth/apple,,Public,Planned,server/routes/oauth.js,89
50,OAuth,ALL,/api/v1/auth/oauth/apple/callback,/api/auth/oauth/apple/callback,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,ALL /api/v1/auth/oauth/apple/callback,,Public,Planned,server/routes/oauth.js,106
51,OAuth,GET,/api/v1/auth/oauth/facebook,/api/auth/oauth/facebook,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,GET /api/v1/auth/oauth/facebook,,Public,Planned,server/routes/oauth.js,110
52,OAuth,GET,/api/v1/auth/oauth/facebook/callback,/api/auth/oauth/facebook/callback,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,GET /api/v1/auth/oauth/facebook/callback,,Public,Planned,server/routes/oauth.js,128
53,OAuth,GET,/api/v1/auth/oauth/google,/api/auth/oauth/google,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,GET /api/v1/auth/oauth/google,,Public,Planned,server/routes/oauth.js,67
54,OAuth,GET,/api/v1/auth/oauth/google/callback,/api/auth/oauth/google/callback,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Accept: text/html (redirect flow),—,—,—,—,GET /api/v1/auth/oauth/google/callback,,Public,Planned,server/routes/oauth.js,85
55,Products,GET,/api/v1/mobile/products,/api/products,Get all products (with pagination and filters),Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,—,"page (number, optional); limit (number, optional); sort (enum(newest, price_asc, price_desc), optional); categoryId (string, optional)",—,—,GET /api/v1/mobile/products?page=1&limit=1&sort=string&categoryId=64a1b2c3d4e5f6a7b8c9d0e1,Public (but admins can see all statuses),Admin JWT (Bearer),Implemented,server/api/v1/mobile/routes/products.routes.js,19
56,Products,POST,/api/v1/mobile/products,/api/products,Create new product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: multipart/form-data,—,—,"title (string, optional); description (string, optional); price (string, optional); currency (string, optional); category (string, optional); subcategory (string, optional); location (string, optional); country (string, optional); city (string, optional); area (string, optional); brand (string, optional); condition (string, optional); material (string, optional); color (string, optional); seatingCapacity (string, optional); assemblyStatus (string, optional); purchaseYear (string, optional); usageDuration (string, optional); reasonForSelling (string, optional); priceType (string, optional); deliveryOptions (string, optional); contactName (string, optional); contactPhone (string, optional); contactOptions (string, optional); dimensions (string, optional); adType (string, optional); filter_data (string, optional); specifications (string, optional); missing_fields (string, optional); ai_raw_response (string, optional); categoryPath (string, optional); categoryPathNames (string, optional); video (file, max 1); images (file, max 20)",multipart/form-data,"POST /api/v1/mobile/products (multipart/form-data: video=@file, images=@file + JSON fields)",Private,JWT Required (Bearer),Planned,server/routes/products.js,1371
57,Products,DELETE,/api/v1/mobile/products/:id,/api/products/:id,Delete product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,DELETE /api/v1/mobile/products/:id,Private (Owner only),JWT Required (Bearer),Planned,server/routes/products.js,2368
58,Products,GET,/api/v1/mobile/products/:id,/api/products/:id,Get single product by ID,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId, required)",—,—,—,GET /api/v1/mobile/products/:id,Public (but only active products visible to non-owners),JWT Required (Bearer),Implemented,server/api/v1/mobile/routes/products.routes.js,28
59,Products,PUT,/api/v1/mobile/products/:id,/api/products/:id,Update product,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: multipart/form-data,"id (ObjectId|string, required)",—,"title (string, optional); description (string, optional); price (string, optional); currency (string, optional); category (string, optional); subcategory (string, optional); location (string, optional); country (string, optional); city (string, optional); area (string, optional); brand (string, optional); condition (string, optional); material (string, optional); color (string, optional); seatingCapacity (string, optional); assemblyStatus (string, optional); make (string, optional); model (string, optional); year (string, optional); mileage (string, optional); transmission (string, optional); fuelType (string, optional); purchaseYear (string, optional); usageDuration (string, optional); reasonForSelling (string, optional); priceType (string, optional); deliveryOptions (string, optional); contactName (string, optional); contactPhone (string, optional); contactOptions (string, optional); dimensions (string, optional); adType (string, optional); status (string, optional); categoryPath (string, optional); categoryPathNames (string, optional); video (file, max 1); images (file, max 20)",multipart/form-data,"POST /api/v1/mobile/products/:id (multipart/form-data: video=@file, images=@file + JSON fields)",Private (Owner only),JWT Required (Bearer),Planned,server/routes/products.js,1964
60,Products,GET,/api/v1/mobile/products/:id/related,/api/products/:id/related,Get related products,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)","categoryId (string, optional); location (string, optional); subcategoryId (string, optional)",—,—,GET /api/v1/mobile/products/:id/related?categoryId=64a1b2c3d4e5f6a7b8c9d0e1&location=string&subcategoryId=64a1b2c3d4e5f6a7b8c9d0e1,Public,Public (Optional JWT for personalization),Planned,server/routes/products.js,1070
61,Products,PUT,/api/v1/mobile/products/:id/resubmit,/api/products/:id/resubmit,Resubmit a rejected listing for moderation,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,"id (ObjectId|string, required)",—,—,application/json,PUT /api/v1/mobile/products/:id/resubmit (no body),Private (owner only; admins can resubmit too),Admin JWT (Bearer),Planned,server/routes/products.js,1925
62,Products,GET,/api/v1/mobile/products/facets,/api/products/facets,Get filter facets (cities/years/mileage range) from DB (optionally filtered by category/subcategory),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"categoryId (string, optional); subcategoryId (string, optional)",—,—,GET /api/v1/mobile/products/facets?categoryId=64a1b2c3d4e5f6a7b8c9d0e1&subcategoryId=64a1b2c3d4e5f6a7b8c9d0e1,Public,Public (Optional JWT for personalization),Planned,server/routes/products.js,150
63,Products,GET,/api/v1/mobile/products/price-range,/api/products/price-range,Get min and max price from active products (optionally filtered by category),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,"categoryId (string, optional)",—,—,GET /api/v1/mobile/products/price-range?categoryId=64a1b2c3d4e5f6a7b8c9d0e1,Public,Public (Optional JWT for personalization),Planned,server/routes/products.js,91
64,Products,GET,/api/v1/mobile/products/reels-feed,/api/products/reels-feed,"Get products for reels feed (random order; optional excludeUserId, excludeIds for pagination)",Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/products/reels-feed,Public,Public (Optional JWT for personalization),Planned,server/routes/products.js,853
65,Products,GET,/api/v1/mobile/products/search,/api/products/search,"Search products by text, category, location and price range",Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/products/search,Public,Public (Optional JWT for personalization),Planned,server/routes/products.js,1121
66,Profile,GET,/api/v1/mobile/profile,/api/profile,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/profile,,See route handler,Planned,server/routes/profile.js,8
67,Streaming,GET,/api/v1/mobile/streaming/health,/api/streaming/health,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/v1/mobile/streaming/health,,See route handler,Planned,server/routes/streaming.js,129
68,Streaming,GET,/api/v1/mobile/streaming/jobs/:id,/api/streaming/jobs/:id,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,"id (ObjectId|string, required)",—,—,—,GET /api/v1/mobile/streaming/jobs/:id,,See route handler,Planned,server/routes/streaming.js,94
69,Streaming,POST,/api/v1/mobile/streaming/upload,/api/streaming/upload,,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: multipart/form-data,—,—,"video (file, max 1)",multipart/form-data,POST /api/v1/mobile/streaming/upload (multipart/form-data: video=@file),,See route handler,Planned,server/routes/streaming.js,44
70,System,GET,/api/health,/api/health,Server health check,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android,—,—,—,—,GET /api/health,Public,Public (Optional JWT for personalization),Planned,server/server.js,158
